"","true","bias","RMSE"
"sgm2[8]",0.7,-0.01205208,0.0816992313116259
"sgm2[9]",0.7,0.0182351160000001,0.058290078631772
"sgm2[10]",0.7,-0.0199569399999999,0.0729601521641686
"sgm2[11]",0.7,-0.026580328,0.0678776826997009
"sgm2[12]",0.2,0.014994532,0.0169512025869057
"sgm2[13]",0.2,0.007179304,0.0108594199420043
"sgm2[14]",0.2,0.000563523999999982,0.00340188679246091
"sgm2[15]",0.2,0.004116812,0.00767874876076564
"sgm2[16]",0.2,0.00812294,0.00955323696124407
"sgm2[17]",0.2,0.00585820799999998,0.00785558404128934
"sgd1",0.5,0.254884616,0.257987797288011
"sgd2",0.5,0.10480888,0.119761134601911
"gam1[1]",0.5,0.00276432000000004,0.0579513246923202
"gam1[2]",0.2,0.0489168156824,0.070169885881285
"gam1[3]",0.6,0.0788794,0.0847483424429359
"gam2[1]",0.5,0.00437968799999999,0.0260630004660461
"gam2[2]",0.2,0.02723221164124,0.0921435538251508
"gam2[3]",0.6,0.02231372,0.0961301904111719
"phx1[1,1]",1,0.015330716,0.113575758585271
"phx1[1,2]",-0.2,-0.000222870399999991,0.0324445172053721
"phx1[1,3]",0,0.00340679464984,0.0368760238331341
"phx1[2,1]",-0.2,-0.000222870399999991,0.0324445172053721
"phx1[2,2]",1,-0.0999633320000001,0.13879945965525
"phx1[2,3]",-0.5,0.034226488,0.0514952844984486
"phx1[3,1]",0,0.00340679464984,0.0368760238331341
"phx1[3,2]",-0.5,0.034226488,0.0514952844984486
"phx1[3,3]",1,-0.053285108,0.0727562808101992
"phx2[1,1]",1,-0.051777088,0.154290268616536
"phx2[1,2]",-0.2,0.01068783048,0.0438501124500211
"phx2[1,3]",0,0.00368148515868,0.0210920066022838
"phx2[2,1]",-0.2,0.01068783048,0.0438501124500211
"phx2[2,2]",1,-0.02807026,0.0764582737932251
"phx2[2,3]",-0.5,0.018263696,0.0334964235138356
"phx2[3,1]",0,0.00368148515868,0.0210920066022838
"phx2[3,2]",-0.5,0.018263696,0.0334964235138356
"phx2[3,3]",1,-0.0462956959999999,0.0539787462364898
